State,Year,Month,Unemployment_Rate,Labor_Force,Employed,Unemployed
California,2021,9,4.2,3045081,2917187,127894
Texas,2018,6,11.1,1778332,1580937,197395
Georgia,2015,11,8.1,392007,360254,31753
New York,2016,5,7.0,3028785,2816770,212015
California,2013,8,7.5,487773,451190,36583
California,2013,9,2.7,1546395,1504642,41753
Texas,2018,2,8.5,1467064,1342363,124701
Georgia,2012,9,7.9,4814386,4434049,380337
California,2011,12,10.0,2025464,1822917,202547
Georgia,2014,10,3.1,1884094,1825687,58407
Washington,2019,9,4.5,449115,428904,20211
Pennsylvania,2013,9,8.2,3246243,2980051,266192
Pennsylvania,2018,9,5.3,1700720,1610581,90139
New York,2018,4,9.2,2069412,1879026,190386
Florida,2011,2,10.3,3775049,3386218,388831
Washington,2022,9,10.9,1787023,1592237,194786
Illinois,2023,5,2.5,3879044,3782067,96977
Washington,2022,4,7.3,4674475,4333238,341237
Ohio,2019,12,9.7,1130451,1020797,109654
Michigan,2011,6,6.4,3131830,2931392,200438
Michigan,2017,7,3.3,2896749,2801156,95593
Washington,2012,5,9.8,1171192,1056415,114777
Texas,2013,12,3.0,3610764,3502441,108323
Texas,2018,10,8.0,2460901,2264028,196873
New York,2019,3,6.6,3052053,2850617,201436
Florida,2014,3,6.3,4203099,3938303,264796
New York,2023,8,10.3,684718,614192,70526
Illinois,2021,7,9.8,2604973,2349685,255288
California,2012,6,8.6,869565,794782,74783
New York,2010,9,11.1,2217191,1971082,246109
Texas,2021,4,7.1,4402096,4089547,312549
Michigan,2020,10,9.8,1005112,906611,98501
Georgia,2017,2,11.5,3964860,3508901,455959
Illinois,2016,1,8.9,3583978,3265003,318975
Washington,2012,2,3.1,486213,471140,15073
New York,2019,5,9.0,1022426,930407,92019
Pennsylvania,2012,4,5.2,152949,144995,7954
Michigan,2018,1,8.2,1615509,1483037,132472
Florida,2012,11,8.6,2269068,2073928,195140
Pennsylvania,2016,11,11.6,4032623,3564838,467785
Georgia,2016,12,4.3,1129242,1080684,48558
Washington,2014,1,4.3,3524638,3373078,151560
California,2012,5,11.8,3743394,3301673,441721
Florida,2023,3,10.5,4786270,4283711,502559
California,2021,8,3.8,3022321,2907472,114849
Texas,2015,2,2.9,2157797,2095220,62577
Texas,2013,7,5.1,3299362,3131094,168268
Illinois,2011,8,11.8,2665820,2351253,314567
Florida,2010,1,3.0,1044461,1013127,31334
Illinois,2022,2,4.1,4430972,4249302,181670
Michigan,2022,9,3.8,1464359,1408713,55646
Georgia,2011,1,6.8,247032,230233,16799
Pennsylvania,2023,4,6.5,1818562,1700355,118207
Ohio,2011,10,8.9,2861642,2606955,254687
California,2019,7,9.6,2858566,2584143,274423
Texas,2023,6,5.5,3405107,3217826,187281
New York,2018,5,4.4,3219812,3078140,141672
Washington,2018,2,2.5,4133123,4029794,103329
Georgia,2015,6,10.3,3946300,3539831,406469
Georgia,2020,1,9.4,4711008,4268173,442835
California,2010,8,5.4,3269562,3093005,176557
California,2021,10,3.6,1963907,1893206,70701
Georgia,2023,2,3.0,1913353,1855952,57401
Pennsylvania,2017,1,6.2,4526421,4245782,280639
California,2014,11,8.9,4745289,4322958,422331
California,2011,7,8.9,2129341,1939829,189512
Washington,2011,10,2.9,3579799,3475984,103815
Texas,2019,7,9.7,2496629,2254455,242174
Washington,2010,4,11.9,566995,499522,67473
Texas,2020,5,7.6,4922778,4548646,374132
Washington,2012,8,10.3,1342522,1204242,138280
Georgia,2017,1,11.5,1397776,1237031,160745
Pennsylvania,2016,3,6.6,3872088,3616530,255558
Michigan,2021,3,6.0,3986613,3747416,239197
Florida,2023,3,5.6,761440,718799,42641
Texas,2016,10,5.3,481325,455814,25511
Michigan,2018,8,3.7,705751,679638,26113
Michigan,2012,9,3.2,4911889,4754708,157181
California,2013,5,7.7,106464,98266,8198
New York,2010,11,9.5,1518767,1374484,144283
Georgia,2017,10,7.4,2176259,2015215,161044
Washington,2020,1,10.3,1496102,1342003,154099
Ohio,2016,12,5.2,532941,505228,27713
Florida,2023,7,8.1,4026449,3700306,326143
California,2014,12,10.1,4600328,4135694,464634
Florida,2010,6,3.6,4854489,4679727,174762
Georgia,2012,2,4.6,1880832,1794313,86519
Michigan,2016,10,4.5,2280139,2177532,102607
Washington,2010,4,4.2,2628474,2518078,110396
Illinois,2014,2,9.8,1513967,1365598,148369
Michigan,2015,7,7.0,3511097,3265320,245777
New York,2012,7,8.5,4668672,4271834,396838
Illinois,2018,7,9.6,1961663,1773343,188320
Texas,2020,7,10.3,3878271,3478809,399462
Georgia,2016,10,3.9,3381121,3249257,131864
Florida,2014,12,3.8,4162834,4004646,158188
Washington,2012,12,8.2,3395784,3117329,278455
California,2023,11,10.1,2123553,1909074,214479
Florida,2011,7,6.4,644344,603105,41239
Michigan,2021,6,3.2,696682,674388,22294
Washington,2018,5,5.9,4969236,4676051,293185
Georgia,2018,8,3.9,4834071,4645542,188529
California,2010,8,11.2,906017,804543,101474
Illinois,2021,8,5.4,1295344,1225395,69949
California,2014,2,11.7,3176263,2804640,371623
Washington,2020,5,7.7,4901436,4524025,377411
Pennsylvania,2019,1,4.4,1017999,973207,44792
Florida,2014,2,4.4,349264,333896,15368
Florida,2011,11,9.5,3709134,3356766,352368
Illinois,2022,11,6.9,1886852,1756659,130193
Michigan,2012,10,11.2,142137,126217,15920
Washington,2023,12,8.4,3394900,3109728,285172
New York,2011,1,11.1,2660272,2364981,295291
California,2021,1,5.5,2255138,2131105,124033
California,2016,10,6.0,4250579,3995544,255035
Florida,2014,6,8.4,1860143,1703890,156253
Pennsylvania,2022,6,6.3,2171088,2034309,136779
Illinois,2019,6,8.9,4960345,4518874,441471
Pennsylvania,2022,7,5.9,3849199,3622096,227103
Michigan,2018,11,3.6,3238893,3122292,116601
Michigan,2010,10,2.8,2921058,2839268,81790
Florida,2013,10,11.6,4028683,3561355,467328
California,2021,10,7.5,1163692,1076415,87277
Pennsylvania,2023,2,8.8,3973691,3624006,349685
Florida,2017,2,2.7,2416374,2351131,65243
Michigan,2010,12,9.5,2857506,2586042,271464
Michigan,2021,8,9.8,3540227,3193284,346943
New York,2011,12,8.7,449317,410226,39091
Florida,2015,2,5.6,3758997,3548493,210504
Ohio,2012,8,7.0,4531407,4214208,317199
New York,2015,4,10.8,1147146,1023254,123892
Ohio,2016,11,9.0,3032878,2759918,272960
New York,2019,5,9.2,922564,837688,84876
Illinois,2012,6,4.5,2168884,2071284,97600
Pennsylvania,2014,9,7.8,2303463,2123792,179671
Washington,2017,3,5.4,2226861,2106610,120251
Washington,2021,6,7.5,4789133,4429948,359185
Texas,2018,10,9.4,998704,904825,93879
New York,2023,3,7.1,2976262,2764947,211315
Florida,2019,2,6.1,128885,121023,7862
Illinois,2013,2,9.4,3229985,2926366,303619
California,2019,2,4.2,1218844,1167652,51192
New York,2020,9,8.2,1557913,1430164,127749
Ohio,2013,10,10.2,1088167,977173,110994
Florida,2022,10,6.6,548013,511844,36169
Georgia,2011,5,10.1,642955,578016,64939
Texas,2023,7,11.0,4891126,4353102,538024
Michigan,2018,1,9.4,2153413,1950992,202421
Georgia,2022,12,5.5,2891241,2732222,159019
Michigan,2023,10,3.0,2128594,2064736,63858
Texas,2015,8,5.6,3883799,3666306,217493
Pennsylvania,2014,8,4.2,532184,509832,22352
Michigan,2017,1,6.6,3008087,2809553,198534
Illinois,2013,12,4.8,4417293,4205262,212031
Illinois,2013,10,3.1,2831801,2744015,87786
Illinois,2020,7,2.8,141139,137187,3952
Pennsylvania,2023,7,3.6,1085663,1046579,39084
Michigan,2017,1,10.5,3061937,2740433,321504
California,2014,2,8.4,2220700,2034161,186539
Georgia,2011,8,8.4,281789,258118,23671
Ohio,2019,7,9.8,902009,813612,88397
Florida,2010,8,7.4,2355913,2181575,174338
New York,2011,5,5.3,1354329,1282549,71780
Michigan,2020,6,4.1,3594679,3447297,147382
Texas,2014,9,7.1,3069656,2851710,217946
Ohio,2019,6,4.9,2187001,2079837,107164
Pennsylvania,2020,10,7.4,1831530,1695996,135534
Texas,2022,5,8.2,3473694,3188851,284843
Ohio,2016,10,10.6,768875,687374,81501
Michigan,2017,12,10.1,1978798,1778939,199859
Ohio,2022,5,4.3,2180563,2086798,93765
Illinois,2014,2,10.5,2777374,2485749,291625
Michigan,2017,12,8.9,894878,815233,79645
Florida,2014,6,7.0,2172171,2020119,152052
Washington,2022,5,12.0,4644340,4087019,557321
California,2020,7,4.5,4067610,3884567,183043
Florida,2017,5,5.5,4243403,4010015,233388
Washington,2014,1,3.3,3053028,2952278,100750
Georgia,2013,6,8.4,3893092,3566072,327020
Texas,2023,2,9.6,3690511,3336221,354290
Washington,2023,11,11.4,856547,758900,97647
Ohio,2010,7,9.2,4923416,4470461,452955
Georgia,2014,3,4.8,1659049,1579414,79635
Georgia,2013,2,2.9,4061635,3943847,117788
Illinois,2016,12,4.8,4125282,3927268,198014
Illinois,2022,5,4.2,1906242,1826179,80063
Illinois,2016,2,9.7,4163068,3759250,403818
Illinois,2022,2,9.6,2167791,1959683,208108
Florida,2014,2,7.0,320326,297903,22423
Washington,2010,11,3.0,4584781,4447237,137544
Washington,2015,7,2.7,4627549,4502605,124944
Georgia,2016,6,3.2,4669146,4519733,149413
Illinois,2013,7,4.9,1750224,1664463,85761
Pennsylvania,2017,7,10.1,684942,615762,69180
Pennsylvania,2012,11,7.3,448848,416082,32766
Washington,2018,11,6.8,2243167,2090631,152536
Florida,2012,6,9.0,1645329,1497249,148080
Illinois,2011,7,6.6,3918806,3660164,258642
Ohio,2017,4,10.8,3834942,3420768,414174
Washington,2016,6,7.8,1978166,1823869,154297
Ohio,2014,1,7.0,1972204,1834149,138055
New York,2023,2,4.2,4327939,4146165,181774
Florida,2013,3,7.0,4047526,3764199,283327
Illinois,2021,5,5.7,2123969,2002902,121067
Texas,2014,7,11.9,3774153,3325028,449125
Illinois,2022,7,11.0,3718313,3309298,409015
Georgia,2020,12,9.2,386100,350578,35522
Pennsylvania,2010,12,11.6,3139316,2775155,364161
Ohio,2010,9,2.9,4067454,3949497,117957
Florida,2022,8,6.6,1381507,1290327,91180
Texas,2010,8,11.0,4297930,3825157,472773
California,2013,10,4.9,3131301,2977867,153434
Illinois,2010,7,5.7,354043,333862,20181
Pennsylvania,2023,7,3.0,1945733,1887361,58372
Georgia,2018,12,5.0,573006,544355,28651
Georgia,2018,3,6.3,3304288,3096117,208171
New York,2019,5,6.2,1329351,1246931,82420
New York,2018,6,3.1,597619,579092,18527
Florida,2021,2,5.4,1522533,1440316,82217
New York,2014,1,11.1,1493488,1327710,165778
Texas,2012,3,9.0,3626185,3299828,326357
Washington,2020,4,10.0,2693050,2423745,269305
Texas,2023,4,9.6,1180132,1066839,113293
Michigan,2011,5,11.6,1762918,1558419,204499
California,2016,4,3.4,4477987,4325735,152252
Georgia,2018,5,3.0,2060220,1998413,61807
Illinois,2013,3,3.5,2248164,2169478,78686
Texas,2019,9,8.8,2308977,2105787,203190
California,2023,8,10.3,815003,731057,83946
Illinois,2021,8,5.7,936002,882649,53353
Georgia,2020,3,5.7,1869107,1762567,106540
California,2014,1,9.6,4754126,4297729,456397
Michigan,2021,6,6.7,837197,781104,56093
Texas,2020,7,10.8,129777,115761,14016
Pennsylvania,2015,2,6.0,2903089,2728903,174186
Georgia,2020,9,10.7,4853954,4334580,519374
Texas,2014,12,9.1,3209823,2917729,292094
Illinois,2021,12,4.0,1256245,1205995,50250
Michigan,2013,6,3.5,1376120,1327955,48165
California,2016,9,3.0,1908516,1851260,57256
Texas,2019,6,9.8,1861126,1678735,182391
Texas,2011,10,7.5,1817355,1681053,136302
Washington,2010,4,6.3,3342792,3132196,210596
New York,2021,11,3.3,4785942,4628005,157937
Texas,2015,2,8.2,4068178,3734587,333591
Texas,2021,6,10.5,4717631,4222279,495352
New York,2012,6,8.9,1817826,1656039,161787
California,2016,8,10.8,2958214,2638726,319488
Pennsylvania,2010,4,4.5,4343780,4148309,195471
Washington,2018,11,7.3,2881460,2671113,210347
Pennsylvania,2015,4,10.8,1719426,1533727,185699
New York,2013,9,5.4,2238421,2117546,120875
New York,2017,12,6.6,3970019,3707997,262022
Georgia,2010,4,5.5,1640450,1550225,90225
California,2018,2,2.6,4306771,4194794,111977
Texas,2013,12,9.1,2764921,2513313,251608
Georgia,2020,7,10.7,4454489,3977858,476631
Pennsylvania,2014,4,10.6,2469320,2207572,261748
Illinois,2014,12,7.5,4102761,3795053,307708
California,2018,8,6.6,4131103,3858450,272653
New York,2012,8,5.7,1511910,1425731,86179
Ohio,2017,10,8.5,1750375,1601593,148782
Michigan,2022,2,11.3,1073215,951941,121274
Florida,2018,2,5.0,4802104,4561998,240106
Michigan,2016,1,6.8,2631196,2452274,178922
Michigan,2020,6,5.4,900981,852328,48653
Florida,2018,12,2.9,4843216,4702762,140454
Florida,2010,6,10.2,1350469,1212721,137748
Georgia,2014,5,6.6,2273577,2123520,150057
Washington,2020,12,10.1,3525077,3169044,356033
Georgia,2012,2,10.8,3731453,3328456,402997
Illinois,2020,5,8.7,3587924,3275774,312150
Michigan,2022,4,8.4,4652538,4261724,390814
Washington,2022,11,4.6,3947593,3766003,181590
Ohio,2020,6,6.2,3664507,3437307,227200
Texas,2014,10,7.3,3138783,2909651,229132
Georgia,2022,10,5.7,4866589,4589193,277396
New York,2017,4,8.7,757253,691371,65882
Washington,2020,11,4.6,641797,612274,29523
Texas,2020,4,10.3,1896218,1700907,195311
California,2012,3,8.7,360710,329328,31382
California,2018,11,6.7,3903074,3641568,261506
New York,2011,2,3.1,3962012,3839189,122823
Washington,2014,9,6.6,1280859,1196322,84537
Georgia,2022,10,5.1,1561742,1482093,79649
Georgia,2010,3,7.0,2178937,2026411,152526
Ohio,2022,10,9.3,2527115,2292093,235022
Washington,2017,5,3.7,4251951,4094628,157323
California,2014,3,10.8,989694,882807,106887
Pennsylvania,2016,11,3.2,3721301,3602219,119082
Georgia,2019,10,7.9,2283525,2103126,180399
Illinois,2020,8,4.8,4768223,4539348,228875
Georgia,2014,8,11.2,937566,832558,105008
Ohio,2017,4,7.4,1323981,1226006,97975
Texas,2018,9,3.4,3480889,3362538,118351
Washington,2022,6,4.3,3244787,3105261,139526
Georgia,2014,6,11.5,556104,492152,63952
Pennsylvania,2022,6,3.0,2267461,2199437,68024
Ohio,2010,9,5.8,2863262,2697192,166070
Pennsylvania,2022,10,6.7,2837968,2647824,190144
Pennsylvania,2016,5,11.0,4045123,3600159,444964
Illinois,2020,10,3.7,1880248,1810678,69570
Illinois,2014,11,11.6,4895817,4327902,567915
Florida,2018,6,5.6,3079845,2907373,172472
Washington,2015,5,9.9,753817,679189,74628
Texas,2016,2,3.0,4976691,4827390,149301
Michigan,2017,4,8.6,1597850,1460434,137416
California,2014,4,11.6,4110088,3633317,476771
New York,2023,7,4.2,4430453,4244373,186080
Washington,2022,1,2.6,2760891,2689107,71784
Florida,2017,11,8.6,2063957,1886456,177501
Illinois,2011,11,10.4,3831570,3433086,398484
Florida,2020,5,6.4,1690346,1582163,108183
Texas,2011,7,11.1,3354449,2982105,372344
Michigan,2016,11,6.8,360102,335615,24487
California,2019,1,3.5,1443054,1392547,50507
Texas,2018,7,4.6,3307443,3155300,152143
Texas,2014,4,4.3,3560096,3407011,153085
Pennsylvania,2012,6,5.7,1661014,1566336,94678
Illinois,2019,3,10.1,3357983,3018826,339157
New York,2015,8,8.6,851972,778702,73270
Ohio,2013,4,3.3,2339155,2261962,77193
Ohio,2011,2,3.7,2955825,2846459,109366
Georgia,2011,5,4.6,124363,118642,5721
Michigan,2016,6,4.1,1598447,1532910,65537
New York,2018,1,4.1,1695123,1625622,69501
California,2012,10,9.0,1491538,1357299,134239
Florida,2011,3,4.6,271236,258759,12477
Texas,2013,12,7.1,4188077,3890723,297354
Michigan,2021,3,7.9,3057817,2816249,241568
Washington,2019,11,4.2,4614153,4420358,193795
Illinois,2010,1,7.0,3042609,2829626,212983
Illinois,2023,9,2.5,2040593,1989578,51015
Illinois,2015,8,10.0,3850222,3465199,385023
Florida,2011,2,3.9,3269451,3141942,127509
Michigan,2020,3,6.3,1562333,1463906,98427
Washington,2015,10,11.1,524190,466004,58186
Florida,2019,9,10.2,2779244,2495761,283483
Florida,2016,1,11.7,4061643,3586430,475213
Texas,2021,5,3.8,3861054,3714333,146721
Illinois,2019,1,5.3,2443453,2313949,129504
Texas,2021,3,4.4,3948444,3774712,173732
Illinois,2019,2,11.8,3438669,3032906,405763
Florida,2018,3,4.1,4460866,4277970,182896
Michigan,2016,9,2.7,4580757,4457076,123681
Illinois,2021,12,10.0,2890353,2601317,289036
Ohio,2019,10,9.2,682314,619541,62773
Illinois,2011,5,7.3,3788190,3511652,276538
Georgia,2015,7,5.3,804824,762168,42656
Pennsylvania,2014,6,10.1,1803728,1621551,182177
Washington,2021,1,9.3,3322026,3013077,308949
Michigan,2011,10,4.0,4594893,4411097,183796
Georgia,2014,11,6.8,3887132,3622807,264325
Pennsylvania,2011,9,11.6,4137746,3657767,479979
Florida,2017,9,8.8,2859374,2607749,251625
Pennsylvania,2012,7,11.5,2952889,2613306,339583
New York,2011,10,9.6,1500507,1356458,144049
Illinois,2010,3,10.8,2664462,2376700,287762
Michigan,2016,10,4.2,776935,744303,32632
Ohio,2019,12,3.2,501072,485037,16035
Washington,2014,6,9.5,1056010,955689,100321
Michigan,2010,11,9.2,4568852,4148517,420335
Washington,2022,7,7.3,519503,481579,37924
California,2010,6,5.3,258253,244565,13688
Texas,2015,10,9.3,1379898,1251567,128331
Illinois,2017,12,4.3,4590998,4393585,197413
Washington,2015,6,6.9,2247865,2092762,155103
Michigan,2021,3,8.6,1088722,995091,93631
Michigan,2016,8,3.4,2854036,2756998,97038
Michigan,2020,9,4.1,453153,434573,18580
Illinois,2022,2,9.2,4201153,3814646,386507
New York,2015,3,3.3,962839,931065,31774
Georgia,2016,1,9.3,775025,702947,72078
Michigan,2018,4,11.6,1705752,1507884,197868
Florida,2014,1,8.9,2543292,2316939,226353
Texas,2021,9,5.6,1133388,1069918,63470
Pennsylvania,2012,6,9.5,4959382,4488240,471142
Washington,2023,3,8.5,2437422,2230241,207181
Washington,2018,11,6.0,620112,582905,37207
New York,2011,8,2.6,2518853,2453362,65491
New York,2017,10,11.8,4484077,3954955,529122
Illinois,2010,5,8.4,1491449,1366167,125282
Texas,2018,6,9.8,1767832,1594584,173248
California,2014,11,11.5,1013605,897040,116565
Michigan,2021,4,3.3,2132656,2062278,70378
Pennsylvania,2019,4,4.5,1367403,1305869,61534
Texas,2017,6,11.7,477224,421388,55836
Ohio,2020,5,3.0,334433,324400,10033
Pennsylvania,2010,7,8.6,1982226,1811754,170472
Michigan,2018,2,9.2,3111098,2824876,286222
New York,2011,7,8.2,921939,846340,75599
Ohio,2022,4,7.2,3714705,3447246,267459
Illinois,2011,9,9.8,4032613,3637416,395197
Illinois,2018,3,8.7,2296274,2096498,199776
Ohio,2022,3,8.3,4196920,3848575,348345
Illinois,2012,3,7.4,2817956,2609427,208529
Texas,2015,7,4.9,4219214,4012472,206742
Georgia,2012,12,11.8,2896647,2554842,341805
Georgia,2010,8,7.4,2514607,2328526,186081
Texas,2013,12,5.3,2795145,2647002,148143
Michigan,2018,8,3.3,1119051,1082122,36929
Illinois,2017,2,2.7,4174161,4061458,112703
Texas,2013,1,8.6,3405640,3112754,292886
Washington,2017,2,3.7,775899,747190,28709
Michigan,2012,10,9.2,4633910,4207590,426320
Ohio,2023,1,3.2,1238452,1198821,39631
California,2016,9,5.9,2388013,2247120,140893
Florida,2023,3,10.1,4922455,4425287,497168
Texas,2016,1,10.4,150248,134622,15626
California,2022,6,7.9,340346,313458,26888
Georgia,2012,8,7.1,362739,336984,25755
Illinois,2013,10,4.8,368116,350446,17670
Washington,2022,1,2.8,3877807,3769228,108579
New York,2019,8,3.3,259472,250909,8563
Ohio,2011,11,6.1,1879472,1764824,114648
Illinois,2015,8,5.1,2426168,2302433,123735
Texas,2018,12,8.8,4241314,3868078,373236
Florida,2015,7,5.7,4657612,4392128,265484
Texas,2022,10,10.3,4252109,3814141,437968
Washington,2017,11,11.1,3473328,3087788,385540
Pennsylvania,2013,10,4.4,1848076,1766760,81316
Georgia,2020,9,5.6,1267213,1196249,70964
Texas,2014,10,7.2,2023298,1877620,145678
Pennsylvania,2013,6,8.9,4004413,3648020,356393
Ohio,2021,3,6.1,358480,336612,21868
Michigan,2013,7,3.6,1111214,1071210,40004
Ohio,2014,2,4.4,4297739,4108638,189101
Texas,2013,4,6.4,3035973,2841670,194303
Michigan,2020,10,7.6,2757179,2547633,209546
Pennsylvania,2011,11,9.5,3615530,3272054,343476
Ohio,2011,7,3.4,644653,622734,21919
Georgia,2019,3,11.9,4634666,4083140,551526
New York,2014,7,3.1,1320682,1279740,40942
Michigan,2018,5,9.6,707317,639414,67903
Ohio,2021,4,5.4,4094417,3873318,221099
Michigan,2022,5,4.9,2976237,2830401,145836
Pennsylvania,2018,9,11.9,4847924,4271021,576903
Washington,2011,1,6.9,283024,263495,19529
California,2020,2,10.9,1151341,1025844,125497
New York,2021,4,7.9,2066849,1903567,163282
Michigan,2022,1,7.2,3395453,3150980,244473
California,2023,6,5.3,3797925,3596634,201291
Texas,2017,5,3.5,1092206,1053978,38228
Georgia,2015,8,4.8,1804491,1717875,86616
Illinois,2020,12,8.3,884278,810882,73396
Ohio,2011,11,8.7,2570562,2346923,223639
Florida,2022,10,5.0,4825965,4584666,241299
Texas,2021,8,9.0,446229,406068,40161
Ohio,2017,4,5.8,1973200,1858754,114446
Texas,2023,8,6.0,1415502,1330571,84931
Washington,2018,5,10.1,946462,850869,95593
Pennsylvania,2021,7,6.0,1544315,1451656,92659
Ohio,2011,6,11.9,1985190,1748952,236238
Georgia,2021,5,7.8,2979198,2746820,232378
Washington,2019,4,4.0,2842651,2728944,113707
Pennsylvania,2012,7,11.0,2973798,2646680,327118
Texas,2019,3,9.5,4684751,4239699,445052
New York,2011,9,4.1,2443145,2342976,100169
Illinois,2013,12,7.8,741142,683332,57810
Pennsylvania,2019,4,7.7,1998238,1844373,153865
Ohio,2020,1,10.9,1535986,1368563,167423
Georgia,2012,5,11.8,3284074,2896553,387521
Texas,2021,6,10.7,4841882,4323800,518082
Pennsylvania,2021,11,5.8,2840936,2676161,164775
Texas,2022,1,10.4,3000203,2688181,312022
Michigan,2017,5,8.4,908062,831784,76278
Pennsylvania,2022,3,7.3,3178378,2946356,232022
Florida,2010,8,3.8,4110768,3954558,156210
Pennsylvania,2018,10,6.8,991255,923849,67406
Michigan,2012,2,11.5,1981397,1753536,227861
Florida,2011,9,5.3,862557,816841,45716
Michigan,2023,8,6.0,682933,641957,40976
Pennsylvania,2016,11,8.5,129092,118119,10973
Pennsylvania,2011,12,10.6,3609934,3227280,382654
Florida,2015,9,5.8,4842256,4561405,280851
Ohio,2019,5,3.3,4031895,3898842,133053
New York,2018,1,3.2,2318222,2244038,74184
Pennsylvania,2019,9,11.5,2232162,1975463,256699
Washington,2018,1,2.9,1751722,1700922,50800
Georgia,2013,7,6.5,2880877,2693619,187258
Michigan,2017,8,6.4,3217173,3011273,205900
Florida,2022,12,4.9,3133932,2980369,153563
Florida,2015,11,10.2,4523475,4062080,461395
Michigan,2015,11,9.1,2987225,2715387,271838
Michigan,2021,7,2.9,3840214,3728847,111367
Michigan,2019,10,7.6,2882540,2663466,219074
Michigan,2016,4,10.6,145712,130266,15446
Texas,2022,2,8.0,993150,913698,79452
Pennsylvania,2010,4,11.2,1032196,916590,115606
Illinois,2016,8,8.3,1663482,1525412,138070
Illinois,2022,7,9.5,2264452,2049329,215123
Washington,2020,6,8.2,3344699,3070433,274266
Illinois,2012,3,11.0,2056678,1830443,226235
Georgia,2012,7,5.2,2245265,2128511,116754
Georgia,2023,8,6.4,790778,740168,50610
California,2023,1,11.9,2450959,2159294,291665
Pennsylvania,2016,12,10.6,2742800,2452063,290737
Texas,2013,1,8.8,4174999,3807599,367400
Pennsylvania,2015,6,7.4,352515,326428,26087
Washington,2021,12,10.6,2744046,2453177,290869
Illinois,2016,10,10.9,3863302,3442202,421100
Texas,2015,10,10.9,2610963,2326368,284595
New York,2011,6,8.1,2903005,2667861,235144
Ohio,2011,8,10.0,3144221,2829798,314423
Washington,2013,6,9.5,919593,832231,87362
Pennsylvania,2018,12,3.2,3016933,2920391,96542
Florida,2014,7,3.6,4986202,4806698,179504
Georgia,2023,6,2.7,885786,861869,23917
Florida,2012,7,3.9,377834,363098,14736
Georgia,2017,1,3.1,3994325,3870500,123825
Texas,2011,7,3.4,4923062,4755677,167385
Pennsylvania,2016,6,8.3,386629,354538,32091
Florida,2011,1,5.0,2437643,2315760,121883
California,2020,10,7.1,2987569,2775451,212118
California,2013,7,4.6,4547077,4337911,209166
Georgia,2020,9,9.3,3666881,3325861,341020
Florida,2014,1,3.6,3681877,3549329,132548
Ohio,2017,3,8.5,1879892,1720101,159791
New York,2012,6,3.6,4080527,3933628,146899
Texas,2013,11,6.5,1290283,1206414,83869
Washington,2016,7,4.6,1569204,1497020,72184
Ohio,2013,8,6.4,3079718,2882616,197102
Washington,2010,7,3.3,974506,942347,32159
Illinois,2021,3,10.2,4494203,4035794,458409
Illinois,2022,7,5.8,4662272,4391860,270412
Texas,2016,11,7.3,2161439,2003653,157786
Texas,2016,9,4.0,4632070,4446787,185283
Florida,2020,2,11.6,1715270,1516298,198972
Ohio,2010,5,2.7,668933,650871,18062
Pennsylvania,2022,5,7.8,1266026,1167275,98751
Pennsylvania,2015,10,3.2,1640710,1588207,52503
New York,2015,11,10.9,4212742,3753553,459189
Texas,2012,4,4.3,1299728,1243839,55889
Illinois,2014,12,7.4,3311208,3066178,245030
Illinois,2010,1,7.3,2934523,2720302,214221
California,2010,5,8.1,3033811,2788072,245739
New York,2011,9,9.3,4618362,4188854,429508
California,2016,4,11.6,1993884,1762593,231291
Illinois,2011,7,8.9,2160035,1967791,192244
Florida,2015,4,3.6,1507576,1453303,54273
Washington,2016,7,2.6,1753005,1707426,45579
Pennsylvania,2013,1,3.2,599471,580287,19184
Pennsylvania,2013,12,11.3,4784162,4243551,540611
Illinois,2012,1,11.2,3311861,2940932,370929
Washington,2011,6,6.4,1257260,1176795,80465
California,2014,10,4.9,3455000,3285705,169295
Pennsylvania,2012,3,10.6,4189437,3745356,444081
New York,2023,12,4.9,3684476,3503936,180540
California,2017,1,7.7,4842998,4470087,372911
Florida,2020,9,7.5,2591721,2397341,194380
Georgia,2013,8,9.9,299542,269887,29655
Michigan,2020,10,8.3,2050500,1880308,170192
Georgia,2010,6,7.5,3004936,2779565,225371
Pennsylvania,2018,10,4.4,4457847,4261701,196146
Georgia,2022,6,7.1,105435,97949,7486
Florida,2019,12,3.2,4854417,4699075,155342
Michigan,2016,11,10.3,2239934,2009220,230714
California,2022,2,11.5,4159319,3680997,478322
Pennsylvania,2018,7,4.9,3650985,3472086,178899
Texas,2015,3,8.2,882533,810165,72368
New York,2017,11,6.4,784659,734440,50219
Washington,2015,9,10.7,3890918,3474589,416329
Texas,2011,4,6.4,4775431,4469803,305628
Florida,2011,11,4.9,1195589,1137005,58584
Washington,2014,11,7.8,2021792,1864092,157700
New York,2011,5,9.6,4102262,3708444,393818
Ohio,2017,4,5.7,1395125,1315602,79523
Florida,2011,1,3.7,4660141,4487715,172426
Florida,2014,11,3.1,3751422,3635127,116295
Michigan,2022,8,7.5,2712761,2509303,203458
Texas,2015,1,4.7,4917842,4686703,231139
New York,2020,5,7.5,2211029,2045201,165828
Michigan,2019,12,9.0,3360802,3058329,302473
Florida,2019,11,10.1,1581257,1421550,159707
Washington,2019,3,5.9,2970524,2795263,175261
Washington,2019,2,5.4,133734,126512,7222
Florida,2020,9,6.4,1106152,1035358,70794
